Season,Player,Age,Pos,G,MP,FG%,3P%,eFG%,TRB,AST,PTS,usage 
18-19,Kawhi Leonard,27,SF,60,34,0.496,0.371,0.546,7.3,3.3,26.6,30.3
18-19,Kyle Lowry,32,PG,65,34,0.411,0.347,0.518,4.8,8.7,14.2,19.6
18-19,Pascal Siakam,24,PF,80,31.9,0.549,0.369,0.591,6.9,3.1,16.9,20.8
18-19,Danny Green,31,SG,80,27.7,0.465,0.455,0.622,4.0,1.6,10.3,14.1
18-19,Fred VanVleet,24,PG,64,27.5,0.410,0.378,0.503,2.6,4.8,11.0,17.9
18-19,Serge Ibaka,29,C,74,27.2,0.529,0.290,0.557,8.1,1.3,15.0,22.9
18-19,Marc Gasol,34,C,26,24.9,0.465,0.442,0.527,6.6,3.9,9.1,16.3
18-19,OG Anunoby,21,SF,67,20.2,0.453,0.332,0.536,2.9,0.7,7.0,15.5
18-19,Jeremy Lin,30,PG,23,18.8,0.374,0.200,0.410,2.6,2.2,7.0,19.8
18-19,Jonas Valančiūnas,26,C,30,18.8,0.575,0.300,0.593,7.2,1.0,12.8,25.9
18-19,Norman Powell,25,SG,60,18.8,0.483,0.400,0.568,2.3,1.5,8.6,19.0
18-19,Delon Wright,26,PG,49,18.3,0.433,0.333,0.485,2.6,2.2,6.9,17.1
,,,,,,,,,,,,
19-20,Kyle Lowry,33,PG,58,36.2,0.416,0.352,0.518,5.0,7.5,19.4,23.1
19-20,Fred VanVleet,25,SG,54,35.7,0.413,0.390,0.507,3.8,6.6,17.6,21.7
19-20,Pascal Siakam,25,PF,60,35.2,0.453,0.359,0.512,7.3,3.5,22.9,28.1
19-20,OG Anunoby,22,SF,69,29.9,0.505,0.390,0.584,5.3,1.6,10.6,14.3
19-20,Norman Powell,26,SG,52,28.4,0.495,0.399,0.586,3.7,1.8,16.0,21.5
19-20,Serge Ibaka,30,C,55,27,0.512,0.385,0.564,8.2,1.4,15.4,24.0
19-20,Marc Gasol,35,C,44,26.4,0.427,0.385,0.529,6.3,3.3,7.5,13.2
19-20,Patrick McCaw,24,SF,37,24.5,0.414,0.324,0.485,2.3,2.1,4.6,9.4
19-20,Rondae Hollis-Jefferson,25,PF,60,18.7,0.471,0.130,0.476,4.7,1.8,7.0,17.2
,,,,,,,,,,,,
20-21,Fred VanVleet,26,SG,52,36.5,0.389,0.366,0.489,4.2,6.3,19.6,23.9
20-21,Pascal Siakam,26,PF,56,35.8,0.455,0.297,0.493,7.2,4.5,21.4,26.3
20-21,Kyle Lowry,34,PG,46,34.8,0.436,0.396,0.546,5.4,7.3,17.2,21.4
20-21,OG Anunoby,23,SF,43,33.3,0.480,0.398,0.580,5.5,2.2,15.9,19.3
20-21,Gary Trent Jr.,22,SG,17,31.8,0.395,0.355,0.479,3.6,1.3,16.2,22.9
20-21,Khem Birch,28,C,19,30.4,0.556,0.290,0.582,7.6,1.9,11.9,15.8
20-21,Norman Powell,27,SG,42,30.4,0.498,0.439,0.602,3.0,1.8,19.6,24.2
20-21,Chris Boucher,28,C,60,24.2,0.514,0.383,0.595,6.7,1.1,13.6,20.5
20-21,Malachi Flynn,22,PG,47,19.7,0.374,0.321,0.453,2.5,2.9,7.5,19.0
20-21,Freddie Gillespie,23,PF,20,19.6,0.524,,0.524,4.9,0.5,5.6,12.2
20-21,DeAndre' Bembry,26,SF,51,19.1,0.513,0.264,0.544,2.9,2.1,5.7,14.6
20-21,Henry Ellenson,24,PF,2,19,0.357,0.222,0.429,6.0,2.5,7.5,17.9
20-21,Aron Baynes,34,C,53,18.5,0.441,0.262,0.485,5.2,0.9,6.1,16.2
,,,,,,,,,,,,
21-22,Fred VanVleet,27,PG,65,37.9,0.403,0.377,0.513,4.4,6.7,20.3,23.7
21-22,Pascal Siakam,27,PF,68,37.9,0.494,0.344,0.525,8.5,5.3,22.8,25.8
21-22,OG Anunoby,24,SF,48,36,0.443,0.363,0.526,5.5,2.6,17.1,20.5
21-22,Scottie Barnes,20,PF,74,35.4,0.492,0.301,0.524,7.5,3.5,15.3,19.0
21-22,Gary Trent Jr.,23,SG,70,35,0.414,0.383,0.511,2.7,2.0,18.3,21.8
21-22,Juwan Morgan,24,PF,1,27,0.667,0.500,0.833,4.0,1.0,5.0,4.8
21-22,Precious Achiuwa,22,C,73,23.6,0.439,0.359,0.486,6.5,1.1,9.1,18.5
21-22,Chris Boucher,29,SF,80,21.1,0.464,0.297,0.523,6.2,0.3,9.4,17.8
21-22,Tremont Waters,24,PG,2,21,0.250,0.222,0.333,2.0,3.5,4.0,16.3
21-22,Thaddeus Young,33,PF,26,18.3,0.465,0.395,0.524,4.4,1.7,6.3,16.0
21-22,Goran Dragić,35,PG,5,18,0.382,0.286,0.441,2.8,1.8,8.0,18.7
21-22,Khem Birch,29,C,55,18,0.485,0.000,0.485,4.3,1.0,4.5,11.2
,,,,,,,,,,,,
22-23,Pascal Siakam,28,PF,71,37.4,0.480,0.324,0.515,7.8,5.8,24.2,27.2
22-23,Fred VanVleet,28,PG,69,36.7,0.393,0.342,0.486,4.1,7.2,19.3,23.2
22-23,OG Anunoby,25,SF,67,35.6,0.476,0.387,0.556,5.0,2.0,16.8,19.5
22-23,Scottie Barnes,21,SF,77,34.8,0.456,0.281,0.487,6.6,4.8,15.3,20.3
22-23,Gary Trent Jr.,24,SG,66,32.1,0.433,0.369,0.522,2.6,1.6,17.4,21.7
22-23,Jakob Poeltl,27,C,26,27.2,0.652,,0.652,9.1,2.2,13.1,17.5
22-23,Precious Achiuwa,23,C,55,20.7,0.485,0.269,0.521,6.0,0.9,9.2,19.4
22-23,Chris Boucher,30,PF,76,20,0.493,0.328,0.552,5.5,0.4,9.4,18.0
22-23,Otto Porter Jr.,29,SF,8,18.3,0.500,0.353,0.600,2.4,1.0,5.5,11.0
,,,,,,,,,,,,
23-24,Scottie Barnes,22,SG,60,34.9,0.475,0.341,0.528,8.2,6.1,19.9,24.8
23-24,Pascal Siakam,29,PF,39,34.7,0.522,0.317,0.559,6.3,4.9,22.2,25.3
23-24,RJ Barrett,23,SG,32,33.5,0.553,0.392,0.601,6.4,4.1,21.8,25.7
23-24,Immanuel Quickley,24,PG,38,33.3,0.422,0.395,0.518,4.8,6.8,18.6,23.5
23-24,OG Anunoby,26,SF,27,33.3,0.489,0.374,0.584,3.9,2.7,15.1,18.2
23-24,Dennis Schröder,30,PG,51,30.6,0.442,0.350,0.511,2.7,6.1,13.7,19.4
23-24,Gary Trent Jr.,25,SG,71,28.1,0.426,0.393,0.531,2.6,1.7,13.7,20.0
23-24,Jakob Poeltl,28,C,50,26.4,0.656,,0.656,8.6,2.5,11.1,16.2
23-24,Kelly Olynyk,32,C,28,26.4,0.548,0.338,0.598,5.6,4.6,12.7,20.0
23-24,Bruce Brown,27,PG,34,26,0.481,0.317,0.519,3.8,2.7,9.6,16.4
23-24,Ochai Agbaji,23,SG,27,23.6,0.391,0.217,0.432,3.3,1.3,6.7,15.4
23-24,Gradey Dick,20,SG,60,21.1,0.425,0.365,0.524,2.2,1.1,8.5,17.4
23-24,Javon Freeman-Liberty,24,PG,22,18.3,0.444,0.238,0.484,3.2,1.8,7.0,17.5
,,,,,,,,,,,,
24-25,Scottie Barnes,23,PF,65,32.8,0.446,0.271,0.482,7.7,5.8,19.3,27.0
24-25,RJ Barrett,24,SF,58,32.2,0.468,0.350,0.523,6.3,5.4,21.1,28.7
24-25,Jakob Poeltl,29,C,57,29.6,0.627,0.333,0.628,9.6,2.8,14.5,18.7
24-25,Gradey Dick,21,SG,54,29.4,0.410,0.350,0.498,3.6,1.8,14.4,21.0
24-25,Immanuel Quickley,25,PG,33,27.8,0.420,0.378,0.517,3.5,5.8,17.1,25.1
24-25,Ochai Agbaji,24,SG,64,27.2,0.498,0.399,0.593,3.8,1.5,10.4,14.6
24-25,Colin Castleton,24,C,11,26.2,0.500,0.250,0.516,6.9,1.6,7.2,13.5
24-25,Davion Mitchell,26,PG,44,24.5,0.434,0.359,0.520,1.9,4.6,6.3,13.1
24-25,Jared Rhoden,25,SG,10,21.5,0.506,0.324,0.582,3.8,1.4,11.4,19.0
24-25,Ja'Kobe Walter,20,SG,52,21.2,0.405,0.349,0.487,3.1,1.6,8.6,18.2
24-25,Jonathan Mogbo,23,PF,63,20.4,0.438,0.243,0.462,4.9,2.3,6.2,15.0
24-25,Orlando Robinson,24,C,35,20.4,0.447,0.340,0.480,5.9,1.9,8.1,18.6
24-25,Bruce Brown,28,PG,18,19.6,0.435,0.306,0.477,3.8,1.6,8.4,19.3
24-25,Jamal Shead,22,PG,75,19.6,0.405,0.323,0.476,1.5,4.2,7.1,18.6
24-25,Cole Swider,25,SF,8,19.5,0.379,0.357,0.509,3.1,0.3,7.4,16.7
24-25,A.J. Lawson,24,SG,26,18.7,0.421,0.327,0.508,3.3,1.2,9.1,20.0
,,,,,,,,,,,,
25-26,Brandon Ingram,28,SF,77,33.8,0.477,0.382,0.529,5.6,3.7,21.5,26.9
25-26,Scottie Barnes,24,PF,80,33.5,0.507,0.304,0.537,7.5,5.9,18.1,23.4
25-26,Immanuel Quickley,26,PG,70,31.9,0.443,0.374,0.541,4.0,5.9,16.4,21.1
25-26,RJ Barrett,25,SF,57,30.3,0.491,0.339,0.550,5.3,3.3,19.3,25.8
25-26,Jakob Poeltl,30,C,46,25,0.700,,0.700,7.0,2.0,10.7,15.3
25-26,Jamal Shead,23,PG,82,22.6,0.367,0.321,0.450,1.7,5.4,6.6,15.5
25-26,Collin Murray-Boyles,20,PF,57,21.9,0.579,0.340,0.604,5.0,1.9,8.5,15.5
25-26,Sandro Mamukelashvili,26,C,80,21.9,0.523,0.389,0.614,4.9,1.9,11.2,18.8
25-26,Ja'Kobe Walter,21,SG,72,20.5,0.446,0.409,0.582,2.6,1.2,7.5,14.0
