season,Player,USG%,,season,Player,USG%,,season,Player,USG%,,season,Player,USG%,,season,Player,USG%,,season,Player,USG%,,season,Player,USG%,,season,Player,USG%
18-19,Pascal Siakam,20.8,,19-20,Pascal Siakam,28.1,,20-21,Pascal Siakam,26.3,,21-22,Scottie Barnes,19.0,,22-23,Scottie Barnes,20.3,,23-24,Scottie Barnes,24.8,,24-25,Scottie Barnes,27.0,,25-26,Scottie Barnes,23.4
18-19,Danny Green,14.1,,19-20,Kyle Lowry,23.1,,20-21,Fred VanVleet,23.9,,21-22,Pascal Siakam,25.8,,22-23,Pascal Siakam,27.2,,23-24,Gary Trent Jr.,20.0,,24-25,RJ Barrett,28.7,,25-26,Brandon Ingram,26.9
18-19,Kyle Lowry,19.6,,19-20,OG Anunoby,14.3,,20-21,Kyle Lowry,21.4,,21-22,Fred VanVleet,23.7,,22-23,Fred VanVleet,23.2,,23-24,Dennis Schröder,19.4,,24-25,Ochai Agbaji,14.6,,25-26,Immanuel Quickley,21.1
18-19,Kawhi Leonard,30.3,,19-20,Fred VanVleet,21.7,,20-21,Chris Boucher,20.5,,21-22,Gary Trent Jr.,21.8,,22-23,OG Anunoby,19.5,,23-24,Pascal Siakam,25.3,,24-25,Jakob Poeltl,18.7,,25-26,Jamal Shead,15.5
18-19,Serge Ibaka,22.9,,19-20,Serge Ibaka,24.0,,20-21,OG Anunoby,19.3,,21-22,OG Anunoby,20.5,,22-23,Gary Trent Jr.,21.7,,23-24,Jakob Poeltl,16.2,,24-25,Gradey Dick,21.0,,25-26,Sandro Mamukelashvili,18.8
18-19,Fred VanVleet,17.9,,19-20,Norman Powell,21.5,,20-21,Norman Powell,24.2,,21-22,Precious Achiuwa,18.5,,22-23,Chris Boucher,18.0,,23-24,Gradey Dick,17.4,,24-25,Jamal Shead,18.6,,25-26,RJ Barrett,25.8
18-19,OG Anunoby,15.5,,19-20,Terence Davis,19.0,,20-21,Stanley Johnson,13.4,,21-22,Chris Boucher,17.8,,22-23,Precious Achiuwa,19.4,,23-24,Immanuel Quickley,23.5,,24-25,Jonathan Mogbo,15.0,,25-26,Ja'Kobe Walter,14.0
18-19,Norman Powell,19.0,,19-20,Marc Gasol,13.2,,20-21,Aron Baynes,16.2,,21-22,Khem Birch,11.2,,22-23,Christian Koloko,10.4,,23-24,RJ Barrett,25.7,,24-25,Ja'Kobe Walter,18.2,,25-26,Collin Murray-Boyles,15.5
18-19,Delon Wright,17.1,,19-20,Rondae Hollis-Jefferson,17.2,,20-21,DeAndre' Bembry,14.6,,21-22,Svi Mykhailiuk,16.9,,22-23,Thaddeus Young,13.5,,23-24,OG Anunoby,18.2,,24-25,Davion Mitchell,13.1,,25-26,Jakob Poeltl,15.3
18-19,Marc Gasol,16.3,,19-20,Patrick McCaw,9.4,,20-21,Malachi Flynn,19.0,,21-22,Dalano Banton,16.9,,22-23,Jakob Poeltl,17.5,,23-24,Bruce Brown,16.4,,24-25,Jamison Battle,15.3,,,,
18-19,Jonas Valančiūnas,25.9,,19-20,Chris Boucher,19.7,,20-21,Yuta Watanabe,12.7,,21-22,Malachi Flynn,16.5,,22-23,Malachi Flynn,17.4,,23-24,Kelly Olynyk,20.0,,24-25,Immanuel Quickley,25.1,,,,
18-19,C.J. Miles,18.8,,,,,,20-21,Khem Birch,15.8,,21-22,Thaddeus Young,16.0,,22-23,Juancho Hernangómez,9.4,,23-24,Chris Boucher,17.3,,24-25,Chris Boucher,21.2,,,,
18-19,Jeremy Lin,19.8,,,,,,20-21,Gary Trent Jr.,22.9,,21-22,Yuta Watanabe,16.8,,22-23,Dalano Banton,24.2,,23-24,Ochai Agbaji,15.4,,24-25,Orlando Robinson,18.6,,,,
18-19,Greg Monroe,22.2,,,,,,20-21,Terence Davis,21.6,,21-22,Justin Champagnie,12.0,,22-23,Otto Porter Jr.,11.0,,23-24,Jalen McDaniels,18.7,,24-25,A.J. Lawson,20.0,,,,
18-19,Patrick McCaw,9.3,,,,,,20-21,Freddie Gillespie,12.2,,21-22,Juwan Morgan,4.8,,,,,,23-24,Jordan Nwora,22.3,,24-25,Kelly Olynyk,18.8,,,,
,,,,,,,,20-21,Henry Ellenson,17.9,,21-22,Tremont Waters,16.3,,,,,,23-24,Malachi Flynn,16.2,,24-25,Bruce Brown,19.3,,,,
,,,,,,,,,,,,21-22,Goran Dragić,18.7,,,,,,23-24,Precious Achiuwa,21.2,,24-25,Colin Castleton,13.5,,,,
,,,,,,,,,,,,,,,,,,,,23-24,Javon Freeman-Liberty,17.5,,24-25,Garrett Temple,13.9,,,,
,,,,,,,,,,,,,,,,,,,,,,,,24-25,Jared Rhoden,19.0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,24-25,Cole Swider,16.7,,,,
